source_type,source_id,edge_type,target_type,target_id
document,UDQ-GOV-RPT-001,depends_on,document,UDQ-GOV-SPEC-003
document,UDQ-GOV-RPT-001,depends_on,document,UDQ-GOV-SPEC-006
document,UDQ-GOV-RPT-002,depends_on,document,UDQ-GOV-REG-001
document,UDQ-GOV-RPT-002,depends_on,document,UDQ-GOV-REG-002
document,UDQ-GOV-RPT-002,depends_on,document,UDQ-REQ-MAT-001
document,UDQ-GOV-SOP-001,depends_on,document,UDQ-GOV-SPEC-003
document,UDQ-GOV-SOP-001,depends_on,document,UDQ-GOV-SPEC-004
document,UDQ-GOV-SOP-001,depends_on,document,UDQ-GOV-SPEC-006
document,UDQ-GOV-SPEC-002,depends_on,document,UDQ-GOV-STD-001
document,UDQ-GOV-SPEC-002,depends_on,document,UDQ-AUD-SPEC-001
document,UDQ-GOV-SPEC-002,depends_on,document,UDQ-AUD-SPEC-002
document,UDQ-GOV-SPEC-003,depends_on,document,UDQ-GOV-STD-001
document,UDQ-GOV-SPEC-003,depends_on,document,UDQ-GOV-STD-002
document,UDQ-GOV-SPEC-003,depends_on,document,UDQ-GOV-STD-003
document,UDQ-GOV-SPEC-003,depends_on,document,UDQ-GOV-GLO-001
document,UDQ-GOV-SPEC-003,depends_on,document,UDQ-REQ-MAT-001
document,UDQ-GOV-SPEC-004,depends_on,document,UDQ-GOV-SPEC-003
document,UDQ-GOV-SPEC-004,depends_on,document,UDQ-REQ-MAT-001
document,UDQ-GOV-SPEC-004,depends_on,document,UDQ-QUAL-SPEC-002
document,UDQ-GOV-SPEC-005,depends_on,document,UDQ-GOV-GLO-001
document,UDQ-GOV-SPEC-005,depends_on,document,UDQ-OUT-SPEC-001
document,UDQ-GOV-SPEC-005,depends_on,document,UDQ-EVT-SPEC-001
document,UDQ-GOV-SPEC-005,depends_on,document,UDQ-PROF-SPEC-001
document,UDQ-GOV-SPEC-005,depends_on,document,UDQ-UI-SPEC-004
document,UDQ-GOV-SPEC-006,depends_on,document,UDQ-GOV-SPEC-003
document,UDQ-GOV-SPEC-006,depends_on,document,UDQ-GOV-SPEC-004
document,UDQ-GOV-SPEC-006,depends_on,document,UDQ-GOV-SPEC-005
document,UDQ-GOV-SPEC-006,depends_on,document,UDQ-REL-SPEC-001
document,UDQ-GOV-STD-001,depends_on,document,[]
document,UDQ-GOV-STD-002,depends_on,document,UDQ-GOV-STD-001
document,UDQ-GOV-STD-002,depends_on,document,UDQ-GOV-GLO-001
document,UDQ-GOV-STD-002,depends_on,document,UDQ-GOV-MAP-001
document,UDQ-GOV-STD-003,depends_on,document,UDQ-IMP-MAP-001
document,UDQ-GOV-STD-003,depends_on,document,UDQ-GOV-SPEC-006
document,UDQ-HIS-SPEC-001,depends_on,document,UDQ-ARCH-NAR-001
document,UDQ-HIS-SPEC-001,depends_on,document,UDQ-ARCH-NAR-002
document,UDQ-HIS-SPEC-001,depends_on,document,UDQ-REQ-MAT-001
document,UDQ-HIS-SPEC-001,depends_on,document,UDQ-QUAL-DEF-001
document,UDQ-HIS-SPEC-001,depends_on,document,UDQ-UI-NAR-001
document,UDQ-HIS-SPEC-001,depends_on,document,UDQ-UI-ARCH-001
document,UDQ-HIS-SPEC-001,depends_on,document,UDQ-UI-MOD-001
document,UDQ-HIS-SPEC-001,depends_on,document,UDQ-SIG-SPEC-001
document,UDQ-HIS-SPEC-001,depends_on,document,UDQ-OUT-SPEC-001
document,UDQ-HIS-SPEC-001,depends_on,document,UDQ-SEQ-SPEC-001
document,UDQ-HIS-SPEC-001,depends_on,document,UDQ-GOV-GLO-001
document,UDQ-HIS-SPEC-001,depends_on,document,UDQ-GOV-STD-002
document,UDQ-IMP-MAP-001,depends_on,document,UDQ-GOV-STD-003
document,UDQ-IMP-MAP-001,depends_on,document,UDQ-GOV-SPEC-003
document,UDQ-IMP-MAP-001,depends_on,document,UDQ-GOV-SPEC-004
document,UDQ-IMP-PLAN-001,depends_on,document,UDQ-REQ-MAT-001
document,UDQ-IMP-PLAN-001,depends_on,document,UDQ-IMP-MAP-001
document,UDQ-IMP-PLAN-001,depends_on,document,UDQ-GOV-SPEC-004
document,UDQ-IMP-PLAN-001,depends_on,document,UDQ-GOV-SPEC-005
document,UDQ-LOG-SPEC-001,depends_on,document,UDQ-GOV-STD-001
document,UDQ-LOG-SPEC-001,depends_on,document,UDQ-GOV-LOG-001
document,UDQ-LOG-SPEC-001,depends_on,document,UDQ-ARCH-NAR-001
document,UDQ-LOG-SPEC-001,depends_on,document,UDQ-ARCH-NAR-002
