source_document_id,target_document_id,edge_type
UDQ-LOG-SPEC-001,UDQ-UI-NAR-001,depends_on
UDQ-LOG-SPEC-001,UDQ-UI-ARCH-001,depends_on
UDQ-LOG-SPEC-001,UDQ-UI-MOD-001,depends_on
UDQ-LOG-SPEC-001,UDQ-UI-INV-001,depends_on
UDQ-PROF-SPEC-001,UDQ-GOV-STD-001,depends_on
UDQ-PROF-SPEC-001,UDQ-REL-SPEC-001,depends_on
UDQ-PROF-SPEC-001,UDQ-UI-ARCH-001,depends_on
UDQ-PROF-SPEC-001,UDQ-UI-MOD-001,depends_on
UDQ-PROF-SPEC-001,UDQ-UI-NAR-001,depends_on
UDQ-PROOF-TPL-001,UDQ-QUAL-SPEC-002,depends_on
UDQ-PROOF-TPL-001,UDQ-REQ-MAT-001,depends_on
UDQ-PROOF-TPL-001,UDQ-SCM-STD-001,depends_on
UDQ-PROOF-TPL-001,UDQ-GOV-SPEC-002,depends_on
UDQ-PROT-SPEC-001,UDQ-ARCH-NAR-001,depends_on
UDQ-PROT-SPEC-001,UDQ-ARCH-NAR-002,depends_on
UDQ-PROT-SPEC-001,UDQ-UI-NAR-001,depends_on
UDQ-PROT-SPEC-001,UDQ-UI-ARCH-001,depends_on
UDQ-PROT-SPEC-001,UDQ-UI-MOD-001,depends_on
UDQ-PROT-SPEC-001,UDQ-SIG-SPEC-001,depends_on
UDQ-PROT-SPEC-001,UDQ-LOG-SPEC-001,depends_on
UDQ-PROT-SPEC-001,UDQ-OUT-SPEC-001,depends_on
UDQ-QUAL-DEF-001,UDQ-ARCH-NAR-001,depends_on
UDQ-QUAL-DEF-001,UDQ-ARCH-NAR-002,depends_on
UDQ-QUAL-DEF-001,UDQ-GOV-STD-001,depends_on
UDQ-QUAL-DEF-001,UDQ-REQ-MAT-001,depends_on
UDQ-QUAL-DEF-001,UDQ-UI-ARCH-001,depends_on
UDQ-QUAL-DEF-001,UDQ-UI-MOD-001,depends_on
UDQ-QUAL-DEF-001,UDQ-UI-NAR-001,depends_on
UDQ-QUAL-SPEC-002,UDQ-REQ-MAT-001,depends_on
UDQ-QUAL-SPEC-002,UDQ-QUAL-DEF-001,depends_on
UDQ-QUAL-SPEC-002,UDQ-GOV-SPEC-002,depends_on
UDQ-QUAL-SPEC-002,UDQ-HIS-SPEC-001,depends_on
UDQ-REL-SPEC-001,UDQ-SCM-STD-001,depends_on
UDQ-REL-SPEC-001,UDQ-AUD-SPEC-001,depends_on
UDQ-REL-SPEC-001,UDQ-GOV-LOG-001,depends_on
UDQ-REL-SPEC-001,UDQ-GOV-SPEC-002,depends_on
UDQ-REL-TPL-001,UDQ-REL-SPEC-001,depends_on
UDQ-REL-TPL-001,UDQ-SCM-STD-001,depends_on
UDQ-REL-TPL-001,UDQ-GOV-SPEC-002,depends_on
UDQ-REL-TPL-002,UDQ-REL-SPEC-001,depends_on
UDQ-REL-TPL-002,UDQ-SCM-STD-001,depends_on
UDQ-REL-TPL-002,UDQ-QUAL-SPEC-002,depends_on
UDQ-REM-SPEC-001,UDQ-ARCH-NAR-001,depends_on
UDQ-REM-SPEC-001,UDQ-ARCH-NAR-002,depends_on
UDQ-REM-SPEC-001,UDQ-UI-NAR-001,depends_on
UDQ-REM-SPEC-001,UDQ-UI-ARCH-001,depends_on
UDQ-REM-SPEC-001,UDQ-UI-MOD-001,depends_on
UDQ-REM-SPEC-001,UDQ-SIG-SPEC-001,depends_on
UDQ-REM-SPEC-001,UDQ-OUT-SPEC-001,depends_on
UDQ-REM-SPEC-001,UDQ-HIS-SPEC-001,depends_on
UDQ-REM-SPEC-001,UDQ-LOG-SPEC-001,depends_on
UDQ-REM-SPEC-001,UDQ-PROT-SPEC-001,depends_on
UDQ-REM-SPEC-001,UDQ-SEQ-SPEC-001,depends_on
UDQ-REQ-MAT-001,UDQ-ARCH-NAR-001,depends_on
UDQ-REQ-MAT-001,UDQ-ARCH-NAR-002,depends_on
UDQ-REQ-MAT-001,UDQ-QUAL-DEF-001,depends_on
UDQ-REQ-MAT-001,UDQ-UI-NAR-001,depends_on
UDQ-REQ-MAT-001,UDQ-UI-ARCH-001,depends_on
UDQ-REQ-MAT-001,UDQ-UI-MOD-001,depends_on
UDQ-REQ-MAT-001,UDQ-LOG-SPEC-001,depends_on
UDQ-REQ-MAT-001,UDQ-SIG-SPEC-001,depends_on
UDQ-REQ-MAT-001,UDQ-OUT-SPEC-001,depends_on
UDQ-REQ-MAT-001,UDQ-PROT-SPEC-001,depends_on
UDQ-REQ-MAT-001,UDQ-SEQ-SPEC-001,depends_on
UDQ-REQ-MAT-001,UDQ-HIS-SPEC-001,depends_on
UDQ-REQ-MAT-001,UDQ-REM-SPEC-001,depends_on
UDQ-REQ-MAT-001,UDQ-EVT-SPEC-001,depends_on
UDQ-REQ-MAT-001,UDQ-DIAG-SPEC-001,depends_on
UDQ-REQ-MAT-001,UDQ-PROF-SPEC-001,depends_on
UDQ-REQ-MAT-001,UDQ-DEV-SPEC-001,depends_on
UDQ-REQ-MAT-001,UDQ-EXP-SPEC-001,depends_on
UDQ-REQ-MAT-001,UDQ-SEC-SPEC-001,depends_on
UDQ-REQ-MAT-001,UDQ-UI-SPEC-000,depends_on
UDQ-REQ-MAT-001,UDQ-UI-SPEC-001,depends_on
UDQ-REQ-MAT-001,UDQ-UI-SPEC-002,depends_on
UDQ-REQ-MAT-001,UDQ-UI-SPEC-003,depends_on
UDQ-REQ-MAT-001,UDQ-UI-SPEC-004,depends_on
UDQ-REQ-MAT-001,UDQ-UI-SPEC-005,depends_on
UDQ-REQ-MAT-001,UDQ-QUAL-SPEC-002,depends_on
UDQ-REQ-MAT-001,UDQ-AUD-SPEC-001,depends_on
UDQ-REQ-MAT-001,UDQ-AUD-SPEC-002,depends_on
UDQ-REQ-MAT-001,UDQ-SCM-STD-001,depends_on
UDQ-REQ-MAT-001,UDQ-REL-SPEC-001,depends_on
UDQ-SCM-STD-001,UDQ-GOV-STD-001,depends_on
UDQ-SCM-STD-001,UDQ-GOV-SPEC-002,depends_on
UDQ-SCM-STD-001,UDQ-QUAL-SPEC-002,depends_on
UDQ-SCM-STD-001,UDQ-AUD-SPEC-001,depends_on
UDQ-SEC-SPEC-001,UDQ-GOV-STD-001,depends_on
UDQ-SEC-SPEC-001,UDQ-HIS-SPEC-001,depends_on
UDQ-SEC-SPEC-001,UDQ-OUT-SPEC-001,depends_on
UDQ-SEC-SPEC-001,UDQ-REM-SPEC-001,depends_on
UDQ-SEC-SPEC-001,UDQ-UI-MOD-001,depends_on
UDQ-SEQ-SPEC-001,UDQ-ARCH-NAR-001,depends_on
UDQ-SEQ-SPEC-001,UDQ-ARCH-NAR-002,depends_on
UDQ-SEQ-SPEC-001,UDQ-UI-NAR-001,depends_on
UDQ-SEQ-SPEC-001,UDQ-UI-ARCH-001,depends_on
UDQ-SEQ-SPEC-001,UDQ-UI-MOD-001,depends_on
UDQ-SEQ-SPEC-001,UDQ-LOG-SPEC-001,depends_on
UDQ-SEQ-SPEC-001,UDQ-SIG-SPEC-001,depends_on
UDQ-SEQ-SPEC-001,UDQ-OUT-SPEC-001,depends_on
UDQ-SEQ-SPEC-001,UDQ-PROT-SPEC-001,depends_on
UDQ-SIG-SPEC-001,UDQ-ARCH-NAR-001,depends_on
UDQ-SIG-SPEC-001,UDQ-ARCH-NAR-002,depends_on
UDQ-SIG-SPEC-001,UDQ-REQ-MAT-001,depends_on
UDQ-SIG-SPEC-001,UDQ-QUAL-DEF-001,depends_on
UDQ-SIG-SPEC-001,UDQ-UI-NAR-001,depends_on
UDQ-SIG-SPEC-001,UDQ-UI-ARCH-001,depends_on
UDQ-SIG-SPEC-001,UDQ-UI-MOD-001,depends_on
UDQ-SIG-SPEC-001,UDQ-LOG-SPEC-001,depends_on
UDQ-UI-ARCH-001,UDQ-UI-NAR-001,depends_on
UDQ-UI-ARCH-001,UDQ-UI-INV-001,depends_on
UDQ-UI-ARCH-001,UDQ-ARCH-NAR-001,depends_on
UDQ-UI-ARCH-001,UDQ-ARCH-NAR-002,depends_on
UDQ-UI-ARCH-001,UDQ-REQ-MAT-001,depends_on
UDQ-UI-ARCH-001,UDQ-QUAL-DEF-001,depends_on
UDQ-UI-MOD-001,UDQ-GOV-STD-001,depends_on
UDQ-UI-MOD-001,UDQ-GOV-LOG-001,depends_on
UDQ-UI-MOD-001,UDQ-ARCH-NAR-001,depends_on
UDQ-UI-MOD-001,UDQ-ARCH-NAR-002,depends_on
UDQ-UI-MOD-001,UDQ-REQ-MAT-001,depends_on
UDQ-UI-MOD-001,UDQ-QUAL-DEF-001,depends_on
UDQ-UI-MOD-001,UDQ-UI-INV-001,depends_on
UDQ-UI-MOD-001,UDQ-UI-NAR-001,depends_on
UDQ-UI-MOD-001,UDQ-UI-ARCH-001,depends_on
UDQ-UI-NAR-001,UDQ-GOV-STD-001,depends_on
UDQ-UI-NAR-001,UDQ-GOV-LOG-001,depends_on
UDQ-UI-NAR-001,UDQ-ARCH-NAR-001,depends_on
UDQ-UI-NAR-001,UDQ-ARCH-NAR-002,depends_on
UDQ-UI-NAR-001,UDQ-REQ-MAT-001,depends_on
UDQ-UI-NAR-001,UDQ-QUAL-DEF-001,depends_on
UDQ-UI-NAR-001,UDQ-UI-INV-001,depends_on
UDQ-UI-NAR-001,UDQ-UI-ARCH-001,depends_on
UDQ-UI-SPEC-000,UDQ-UI-NAR-001,depends_on
UDQ-UI-SPEC-000,UDQ-UI-ARCH-001,depends_on
UDQ-UI-SPEC-000,UDQ-UI-MOD-001,depends_on
UDQ-UI-SPEC-000,UDQ-PROF-SPEC-001,depends_on
UDQ-UI-SPEC-001,UDQ-UI-ARCH-001,depends_on
UDQ-UI-SPEC-001,UDQ-UI-SPEC-000,depends_on
UDQ-UI-SPEC-001,UDQ-DEV-SPEC-001,depends_on
UDQ-UI-SPEC-001,UDQ-SIG-SPEC-001,depends_on
UDQ-UI-SPEC-001,UDQ-OUT-SPEC-001,depends_on
UDQ-UI-SPEC-001,UDQ-LOG-SPEC-001,depends_on
UDQ-UI-SPEC-001,UDQ-SEQ-SPEC-001,depends_on
UDQ-UI-SPEC-001,UDQ-DIAG-SPEC-001,depends_on
UDQ-UI-SPEC-001,UDQ-HIS-SPEC-001,depends_on
UDQ-UI-SPEC-002,UDQ-UI-NAR-001,depends_on
UDQ-UI-SPEC-002,UDQ-UI-MOD-001,depends_on
UDQ-UI-SPEC-002,UDQ-EVT-SPEC-001,depends_on
UDQ-UI-SPEC-002,UDQ-DIAG-SPEC-001,depends_on
UDQ-UI-SPEC-002,UDQ-SEC-SPEC-001,depends_on
UDQ-UI-SPEC-003,UDQ-LOG-SPEC-001,depends_on
UDQ-UI-SPEC-003,UDQ-SIG-SPEC-001,depends_on
UDQ-UI-SPEC-003,UDQ-OUT-SPEC-001,depends_on
UDQ-UI-SPEC-003,UDQ-UI-SPEC-001,depends_on
UDQ-UI-SPEC-004,UDQ-HIS-SPEC-001,depends_on
UDQ-UI-SPEC-004,UDQ-EVT-SPEC-001,depends_on
UDQ-UI-SPEC-004,UDQ-UI-SPEC-001,depends_on
UDQ-UI-SPEC-004,UDQ-OUT-SPEC-001,depends_on
UDQ-UI-SPEC-005,UDQ-REM-SPEC-001,depends_on
UDQ-UI-SPEC-005,UDQ-SEC-SPEC-001,depends_on
UDQ-UI-SPEC-005,UDQ-UI-SPEC-001,depends_on
UDQ-UI-SPEC-005,UDQ-UI-SPEC-002,depends_on
